Qualitätsbewusstes Handeln II;nicht immer mit der erforderlichen Sorgfalt;1
Produktivität;Der Arbeitsaufwand und die Arbeitsergebnisse waren perfekt aufeinander abgestimmt;4
Produktivität;Der Arbeitsaufwand und die Arbeitsergebnisse waren gut aufeinander abgestimmt;3
Produktivität;Der Arbeitsaufwand und die Arbeitsergebnisse waren angemessen aufeinander abgestimmt;2
Produktivität;Der Arbeitsaufwand und die Arbeitsergebnisse erfüllten nicht in jedem Fall die Vorgaben;1
Wirtschaftliches Denken;achtete in hohem Masse auf einen sorgfältigen und zweckdienlichen Umgang mit Betriebsmitteln;4
Wirtschaftliches Denken;legte Wert auf einen zweckdienlichen Umgang mit Betriebsmitteln;3
Wirtschaftliches Denken;achtete auf einen zweckdienlichen Umgang mit Betriebsmitteln ;2
Wirtschaftliches Denken;Umgang mit Betriebsmitteln entsprach zum Teil nicht den Anweisungen;1
Kostenbewusstsein;sorgte für deren kostenbewussten Einsatz und realisierte immer wieder Einsparungen;4
Kostenbewusstsein;sorgte für deren kostenbewussten Einsatz und gab wertvolle Hinweise für Einsparungsmöglichkeiten;3
Kostenbewusstsein;auf deren kostenbewussten Einsatz;2
Kostenbewusstsein;das Kostenbewusstsein entsprach nicht unseren Erwartungen;1
Kundenorientierung;nahm die Anliegen der Kunden sehr ernst, erkannte schnell deren Bedürfnisse;4
Kundenorientierung;nahm die Anliegen und Bedürfnisse der Kunden ernst;3
Kundenorientierung;orientierte sich an den Bedürfnissen der Kunden;2
Kundenorientierung;nicht mit der angezeigten Verbindlichkeit;1
Kundenorientierung II;sorgte für eine fundierte Beratung und rasche Erledigung der Aufträge;4
Kundenorientierung II;achtete auf eine gründliche und seriöse Beratung und Ausführung der Aufträge;3
Kundenorientierung II;sorgte für gute Kundenbeziehungen;2
Kundenorientierung II;Pflege der Kundenbeziehungen war zu oberflächlich;1
Problemlösung;fand eigenständig überzeugende Lösungen;4
Problemlösung;lieferte einen wesentlichen Beitrag zu deren Lösungen;3
Problemlösung;in der Regel zu erkennen und zu beheben;2
Problemlösung;Beitrag zu deren Lösung war bescheiden;1
Innovation & Kreativität;hatte ungewöhnlich viele erfolgreich umsetzbare Ideen;4
Innovation & Kreativität;hatte viele konkret umsetzbare Ideen;3
Innovation & Kreativität;hatte wiederholt gute Ideen;2
Innovation & Kreativität;bevorzugte es, am Herkömmlichen festzuhalten;1
Innovation & Kreativität II;wirkte an Neuerungen schöpferisch und tatkräftig mit;4
Innovation & Kreativität II;wirkte an Neuerungen gestalterisch mit;3
Innovation & Kreativität II;war interessiert, an Neuerungen mitzuwirken;2
Innovation & Kreativität II;wirkte an Neuerungen nur zögernd mit;1
Leistungsvermögen;konzentriert und unermüdlich und erbrachte eine hervorragende Leistung;4
Leistungsvermögen;konzentriert und erbrachte eine konstante Leistung;3
Leistungsvermögen;gleichmässig und ausdauernd;2
Leistungsvermögen;Ohne Zeitdruck arbeitete;1
Engagement & Initiative;Arbeitsgebiet und in Arbeitsgruppen;4
Engagement & Initiative;Arbeitsgebiet und in Arbeitsgruppen;3
Engagement & Initiative;Aufgabengebiet ein;2
Engagement & Initiative;Mit Unterstützung nahm;1
Engagement & Initiative II;war äusserst initiativ und setzte sich überdurchschnittlich für;4
Engagement & Initiative II;war initiativ und setzte sich vollumfänglich für;3
Engagement & Initiative II;Arbeiten gewissenhaft;2
Engagement & Initiative II;Arbeiten ordnungsgemäss;1
Verantwortungsbewusstsein;Handlungen bewusst und übernahm dafür jederzeit die Verantwortung;4
Verantwortungsbewusstsein;Handlungen waren durchdacht und verantwortungsvoll;3
Verantwortungsbewusstsein;arbeitete verantwortungsvoll;2
Verantwortungsbewusstsein;Verantwortungsbewusstsein war teilweise zu oberflächlich;1
Entscheidungsfähigkeit & Selbständigkeit;selbständig, mit grosser Sachkenntnis, vorausschauend und bestimmt;4
Entscheidungsfähigkeit & Selbständigkeit;traf Entscheidungen mit grosser Sachkenntnis und ohne Rückfragen;3
Entscheidungsfähigkeit & Selbständigkeit;und traf Entscheidungen mit Sorgfalt und mit wenig Rückfragen;2
Entscheidungsfähigkeit & Selbständigkeit;oft nur nach vorgängigen Rückfragen;1
Flexibilität;konnte schnell auf neue Situationen einstellen;4
Flexibilität;stellte sich leicht auf neue Situationen ein;3
Flexibilität;war bereit, sich veränderten Situationen anzupassen;2
Flexibilität;sich nur schwer einstellen;1
Flexibilität II;und reagierte unter belastenden Umständen ruhig und sicher;4
Flexibilität II;und reagierte auch unter belastenden Umständen mit der nötigen Sicherheit;3
Flexibilität II;und reagierte auf belastende Umstände nicht immer mit der nötigen Sicherheit;2
Flexibilität II;und verlor in Stresssituationen leicht die Übersicht;1
Information & Kommunikation I;informierte vorzüglich über den eigenen Arbeitsbereich, leitete wichtige Informationen sofort an die richtige Stelle weiter;4
Information & Kommunikation I;informierte über den eigenen Arbeitsbereich, leitete wichtige Informationen an die richtige Stelle weiter;3
Information & Kommunikation I;informierte auf Verlangen über den eigenen Arbeitsbereich, leitete wichtige Informationen meistens weiter;2
Information & Kommunikation I;informierte spärlich über den eigenen Arbeitsbereich, unterschätzte gelegentlich kritische Situationen;1
Information & Kommunikation II;und bezog Vorgesetzte in schwierigen Situationen rechtzeitig mit ein;4
Information & Kommunikation II;und bezog Vorgesetzte in schwierigen Situationen mit ein;3
Information & Kommunikation II;und meldete sich in schwierigen Situationen;2
Information & Kommunikation II;bezog Vorgesetzte in schwierigen Angelegenheiten zu spät mit ein;1
Information & Kommunikation III;verfügte über eine gewandte, Adressanten-gerechte mündliche und schriftliche Ausdrucksfähigkeit;4
Information & Kommunikation III;verfügte über eine Adressanten-gerechte mündliche und schriftliche Ausdrucksfähigkeit;3
Information & Kommunikation III;verfügte weitgehend über eine Adressaten-gerechte mündliche und schriftliche Ausdrucksfähigkeit;2
Information & Kommunikation III;verfügbare mündliche und schriftliche Ausdrucksfähigkeit war zu wenig Adressanten-gerecht;1
Information & Kommunikation IV;und verstand es, eigene Ideen stichhaltig zu vertreten und sich in Fachdiskussionen konstruktiv einzubringen;4
Information & Kommunikation IV;und verstand es, eigene Ideen plausibel zu vertreten und sich in Fachdiskussionen zu beteiligen;3
Information & Kommunikation IV;konnte eigene Ideen verständlich darlegen und an Fachdiskussionen teilnehmen;2
Information & Kommunikation IV;selten eigene Ideen in Gespräche oder Diskussionen einzubringen;1
Kooperation & Teamwork;unterstützte und förderte die Zusammenarbeit im Team;4
Kooperation & Teamwork;unterstützte die Zusammenarbeit im Team;3
Kooperation & Teamwork;war teamfähig;2
Kooperation & Teamwork;hatte Schwierigkeiten, sich in ein Team einzuordnen;1
Kooperation & Teamwork II;konnte ausgezeichnet zwischen unterschiedlichen Ansichten vermitteln;4
Kooperation & Teamwork II;ausgleichend bei unterschiedlichen Ansichten;3
Kooperation & Teamwork II;nahm bei Auseinandersetzungen eine neutrale Haltung ein;2
Kooperation & Teamwork II;mied wo möglich Auseinandersetzungen;1
Kooperation & Teamwork III;und nutzte andere Meinungen und begründete Kritik zur persönlichen Entwicklung;4
Kooperation & Teamwork III;schätzte andere Meinungen und begründete Kritik als Anregung;3
Kooperation & Teamwork III;und akzeptierte andere Meinungen und begründete Kritik;2
Kooperation & Teamwork III;nahm andere Meinungen und begründete Kritik zu persönlich;1
Auftreten;ging offen, zuvorkommend und hilfsbereit auf andere zu und meisterte auch ungewohnte Situationen sehr gewandt;4
Auftreten;war aufgeschlossen, freundlich und hilfsbereit und meisterte auch ungewohnte Situationen routiniert;3
Auftreten;war freundlich und hilfsbereit und konnte sich auch in ungewohnten Situationen behaupten;2
Auftreten;Auftreten gab gelegentlich zu Beanstandungen Anlass;1
Sozialverhalten;wurde daher von Vorgesetzten, Mitarbeitenden und Kunden gleichermassen anerkannt und sehr geschätzt;4
Sozialverhalten;war daher bei Vorgesetzten, Mitarbeitenden und Kunden anerkannt und sehr beliebt;3
Sozialverhalten;wurde daher von Vorgesetzten, Mitarbeitenden und Kunden anerkannt;2
Sozialverhalten;führte manchmal zu Konflikten mit Vorgesetzten, Mitarbeitenden oder Drittpersonen;1
Führungsverhalten;verstand es, die Mitarbeitenden überzeugend und zielbezogen zu motivieren;4
Führungsverhalten;konnte die Mitarbeitenden zielbezogen motivieren;3
Führungsverhalten;vermochte die Mitarbeitenden zu motivieren;2
Führungsverhalten;vermochte die Mitarbeitenden nur schwer zu motivieren;1
Führungsverhalten II;erteilte präzise, einleuchtende Handlungsanweisungen und delegierte mit grossem Sachverstand und Gespür;4
Führungsverhalten II;erteilte klare Handlungsanweisungen und delegierte mit Sachverstand und Gespür;3
Führungsverhalten II;erteilte ausreichende Handlungsanweisungen und delegierte umsichtig;2
Führungsverhalten II;unzureichend durchdachte Handlungsanweisungen und delegierte undifferenziert;1
Betreuung von Mitarbeitenden;Wissen und Können mit ausgeprägtem didaktischem und pädagogischem Geschick;4
Betreuung von Mitarbeitenden;Wissen und Können mit didaktischem und pädagogischem Geschick;3
Betreuung von Mitarbeitenden;Wissen und Können geschickt vermitteln;2
Betreuung von Mitarbeitenden;Wissen und Können zu wenig nachhaltig;1
Loyalität;sich in unverkennbarer Weise den Aufgaben und dem Unternehmen verpflichtet fühlte;4
Loyalität;anerkennenswerter Weise;3
Loyalität;Aufgabe und dem Unternehmen verpflichtet fühlte;2
Loyalität;Aufgabe und dem Unternehmen nur bedingt verpflichtet fühlte;1
